519	Baile Uí Spealáin	Ballyspillane
520	Baile Bhuirne	Ballyvourney
521	Bearn na hÉille	Barnahely
522	Bothlán	Bohillane
523	Baile an Droichid	Bridgetown
524	Brí Ghabhann	Brigown
525	Bruíonaigh	Brinny
526	Bréachmhaigh	Britway
527	Cathrach	Caheragh
528	Cathair Dhúgáin	Caherduggan
529	Cathair Laga	Caherlag
530	Ceann Mhaí	Cannaway
531	Carraig Uí Leighin	Carrigaline
532	Carraig Dhúnáin	Carrigdownane
533	Carraig Léim Laoghaire	Carrigleamleary
534	Carraig Ruacháin	Carrigrohane
535	Carraig Ruacháin Bheag	Carrigrohanebeg
536	Carraig Thuathail	Carrigtohill
537	Gleann Bearcháin	Castlehaven
538	Caisleán Ó Liatháin	Castlelyons
539	Caisleán an Mhaignéaraigh	Castlemagner
540	Baile Chaisleáin an Róistigh	Castletownroche
541	Caisleán na Gaoithe	Castleventry
542	Baile an Teampaill	Churchtown
543	Cléire	Clear Island
544	Claonúir	Clenor
545	Cluain Droichead	Clondrohid
546	Cluain Fearta	Clonfert
547	Cluain Mín	Clonmeen
548	Cluain Meala	Clonmel
549	Cluain Molt	Clonmult
550	Cluain Pruachais	Clonpriest
551	Cluain	Cloyne
552	An Chúil	Coole
553	Cúil Eimhne	Cooliney
554	Corca Mhuichead	Corcomohide
555	Corcaigh Bheag	Corkbeg
556	An Chraobhach	Creagh
557	Cuillinn	Cullen
558	Daingean Donnabháin	Dangandonovan
559	Doire Fhoibhleáin	Derryvillane
560	An Díseart	Desert
561	An Díseart Mór	Desertmore
562	An Díseart	Desertserges
563	Domhnach Mór	Donaghmore
564	Dún ar Aill	Doneraile
565	Draighneach	Drinagh
566	An Driseán	Drishane
567	Drom Dhá Liag	Dromdaleague
568	Drom Tairbh	Dromtarriff
569	Dún Bolg	Dunbulloge
570	Dún Darú	Dunderrow
571	Dún Guairne	Dungourney
572	Dún Machan	Dunmahon
573	Dúras	Durrus
574	Fán Lóbais	Fanlobbus
575	An Fhairche	Farahy
576	Mainistir Fhear Maí	Fermoy
577	Garrán an Chiniféicigh	Garranekinnefeake
578	Garbhchluain	Garrycloyne
579	Garraí Bhoithe	Garryvoe
580	Gleannúir	Glanworth
581	An Gort Rua	Gortroe
582	Greanach	Grenagh
583	Eachinis	Hackmys
584	Íochtar Morú	Ightermurragh
585	Imfric	Imphrick
586	An Inse	Inch
587	Inse Geimhleach	Inchigeelagh
588	Inse na Baice	Inchinabacky
589	Inis Eonáin	Inishannon
590	Inis Cara	Inishcarra
591	Inis Cionaoith	Inishkenny
592	Oileán Inse Duine	Island
593	Cill Mhathnáin	Kilbonane
594	Cill Bhrain	Kilbrin
595	Cill Cháscann	Kilcaskan
596	Cill Chaitiairn	Kilcatherine
597	Cill Chóiche	Kilcoe
598	Cill Chorcráin	Kilcorcoran
599	Cill Chríodáin	Kilcredan
600	Cill Chrócháin	Kilcrohane
601	Cill Chruimthir	Kilcrumper
602	Cill Chúile	Kilcully
603	Cill Chomair	Kilcummer
